sku,name,category,sub_category,description,price,cost,inventory_quantity,low_stock_threshold,status
FUR-CH-10003606,SAFCO Folding Chair Trolley,Furniture,Chairs,Chairs - SAFCO Folding Chair Trolley,39.18,13.96,172,10,active
OFF-BI-10001617,GBC Wire Binding Combs,Office Supplies,Binders,Binders - GBC Wire Binding Combs,1.01,0.0,63,50,active
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,Binders - GBC DocuBind TL300 Electric Binding System,48.71,0.0,194,50,active
OFF-AR-10003481,Newell 348,Office Supplies,Art,Art - Newell 348,0.46,0.06,109,50,active
OFF-PA-10002709,Xerox 1956,Office Supplies,Paper,Paper - Xerox 1956,2.8,0.24,55,50,active
OFF-AR-10001177,Newell 349,Office Supplies,Art,Art - Newell 349,1.02,0.3,169,50,active
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,"Binders - Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",0.21,0.59,23,50,active
OFF-AP-10004868,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Office Supplies,Appliances,Appliances - Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,1.27,1.85,31,50,active
OFF-AR-10004022,Panasonic KP-380BK Classic Electric Pencil Sharpener,Office Supplies,Art,Art - Panasonic KP-380BK Classic Electric Pencil Sharpener,5.34,0.27,190,50,active
OFF-ST-10002352,Iris Project Case,Office Supplies,Storage,Storage - Iris Project Case,1.25,0.0,46,50,active
OFF-PA-10001166,Xerox 1932,Office Supplies,Paper,Paper - Xerox 1932,28.35,18.78,72,50,active
OFF-FA-10000089,Acco Glide Clips,Office Supplies,Fasteners,Fasteners - Acco Glide Clips,3.92,2.0,87,50,active
OFF-AR-10001427,Newell 330,Office Supplies,Art,Art - Newell 330,1.36,0.35,198,50,active
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,Binders - Avery Heavy-Duty EZD  Binder With Locking Rings,0.66,0.0,124,50,active
OFF-PA-10004156,Xerox 188,Office Supplies,Paper,Paper - Xerox 188,1.33,0.0,41,50,active
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,Envelopes - Globe Weis Peel & Seel First Class Envelopes,1.79,0.0,10,50,active
OFF-LA-10000414,Avery 503,Office Supplies,Labels,Labels - Avery 503,2.59,0.0,193,50,active
OFF-BI-10004230,GBC Recycled Grain Textured Covers,Office Supplies,Binders,Binders - GBC Recycled Grain Textured Covers,4.66,0.0,39,50,active
OFF-BI-10002931,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders,"Binders - Avery Trapezoid Extra Heavy Duty 4"" Binders",5.24,5.24,114,50,active
OFF-LA-10001613,Avery File Folder Labels,Office Supplies,Labels,Labels - Avery File Folder Labels,0.2,0.0,103,50,active
OFF-AP-10000026,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,Appliances - Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,7.68,4.9,146,50,active
OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,"Binders - Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",0.36,0.0,135,50,active
OFF-AR-10000246,Newell 318,Office Supplies,Art,Art - Newell 318,0.54,0.0,95,50,active
OFF-BI-10004139,Fellowes Presentation Covers for Comb Binding Machines,Office Supplies,Binders,Binders - Fellowes Presentation Covers for Comb Binding Machines,4.78,3.22,188,50,active
OFF-PA-10004996,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Office Supplies,Paper,"Paper - Speediset Carbonless Redi-Letter 7"" x 8 1/2""",1.91,0.0,144,50,active
OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders,Binders - GBC Premium Transparent Covers with Diagonal Lined Pattern,0.83,0.09,58,50,active
OFF-BI-10004528,Cardinal Poly Pocket Divider Pockets for Ring Binders,Office Supplies,Binders,Binders - Cardinal Poly Pocket Divider Pockets for Ring Binders,0.67,0.0,147,50,active
OFF-PA-10003465,Xerox 1912,Office Supplies,Paper,Paper - Xerox 1912,4.57,0.0,117,50,active
OFF-PA-10004359,Multicolor Computer Printout Paper,Office Supplies,Paper,Paper - Multicolor Computer Printout Paper,19.87,0.0,27,50,active
OFF-PA-10000327,Xerox 1971,Office Supplies,Paper,Paper - Xerox 1971,0.68,0.0,78,50,active
OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage,"Storage - Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",6.7,0.0,171,50,active
OFF-ST-10000344,"Neat Ideas Personal Hanging Folder Files, Black",Office Supplies,Storage,"Storage - Neat Ideas Personal Hanging Folder Files, Black",1.8,0.0,106,50,active
OFF-LA-10000443,Avery 501,Office Supplies,Labels,Labels - Avery 501,0.38,0.0,68,50,active
OFF-AR-10000122,Newell 314,Office Supplies,Art,Art - Newell 314,0.7,0.0,163,50,active
OFF-BI-10003314,Tuff Stuff Recycled Round Ring Binders,Office Supplies,Binders,Binders - Tuff Stuff Recycled Round Ring Binders,0.39,0.0,174,50,active
OFF-SU-10000946,Staple remover,Office Supplies,Supplies,Supplies - Staple remover,1.82,0.19,65,50,active
OFF-EN-10000781,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,"Envelopes - #10- 4 1/8"" x 9 1/2"" Recycled Envelopes",3.76,0.88,193,50,active
OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,Office Supplies,Storage,Storage - Fellowes Staxonsteel Drawer Files,26.53,6.92,18,50,active
OFF-AR-10003903,Sanford 52201 APSCO Electric Pencil Sharpener,Office Supplies,Art,Art - Sanford 52201 APSCO Electric Pencil Sharpener,10.1,0.03,153,50,active
OFF-PA-10002246,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Office Supplies,Paper,"Paper - Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",0.91,0.0,120,50,active
OFF-BI-10004140,Avery Non-Stick Binders,Office Supplies,Binders,Binders - Avery Non-Stick Binders,0.16,0.53,112,50,active
OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,"Paper - White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",6.32,0.0,187,50,active
OFF-AR-10003251,Prang Drawing Pencil Set,Office Supplies,Art,Art - Prang Drawing Pencil Set,0.37,0.0,71,50,active
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,Storage - Fellowes Super Stor/Drawer,6.63,2.87,196,50,active
OFF-LA-10000407,Avery White Multi-Purpose Labels,Office Supplies,Labels,Labels - Avery White Multi-Purpose Labels,1.2,0.0,196,50,active
OFF-AR-10003856,Newell 344,Office Supplies,Art,Art - Newell 344,0.42,0.0,132,50,active
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,Storage - Fellowes Stor/Drawer Steel Plus Storage Drawers,11.48,9.37,102,50,active
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,Supplies - Acme Rosewood Handle Letter Opener,1.21,1.5,49,50,active
OFF-EN-10002831,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Envelopes,"Envelopes - Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",11.98,0.0,43,50,active
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,Art - Boston Heavy-Duty Trimline Electric Pencil Sharpeners,9.33,0.0,114,50,active
OFF-AP-10001391,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,Appliances - Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,45.12,18.95,72,50,active
OFF-AP-10003914,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",Office Supplies,Appliances,"Appliances - Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",2.6,2.34,138,50,active
OFF-PA-10003205,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Office Supplies,Paper,"Paper - Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",3.59,0.73,99,50,active
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,Binders - GBC DocuBind 200 Manual Binding Machine,70.16,0.0,115,50,active
OFF-AP-10003040,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Office Supplies,Appliances,Appliances - Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,5.33,3.58,156,50,active
OFF-BI-10004965,Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,Binders,Binders - Ibico Covers for Plastic or Wire Binding Elements,1.31,0.0,104,50,active
OFF-LA-10002381,Avery 497,Office Supplies,Labels,Labels - Avery 497,1.5,0.1,75,50,active
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,Binders - Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,88.56,0.0,60,50,active
OFF-FA-10000624,OIC Binder Clips,Office Supplies,Fasteners,Fasteners - OIC Binder Clips,0.48,0.0,16,50,active
OFF-AR-10001130,"Quartet Alpha White Chalk, 12/Pack",Office Supplies,Art,"Art - Quartet Alpha White Chalk, 12/Pack",0.97,0.21,33,50,active
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,"Storage - Personal Filing Tote with Lid, Black/Gray",1.85,0.0,149,50,active
OFF-BI-10002799,"SlimView Poly Binder, 3/8""",Office Supplies,Binders,"Binders - SlimView Poly Binder, 3/8""",0.42,0.28,35,50,active
OFF-PA-10001800,Xerox 220,Office Supplies,Paper,Paper - Xerox 220,0.73,0.0,193,50,active
OFF-SU-10001225,Staple remover,Office Supplies,Supplies,Supplies - Staple remover,0.42,0.68,199,50,active
OFF-AR-10003631,Staples in misc. colors,Office Supplies,Art,Art - Staples in misc. colors,1.03,0.14,37,50,active
OFF-AR-10002255,Newell 346,Office Supplies,Art,Art - Newell 346,0.57,0.0,123,50,active
OFF-PA-10000994,Xerox 1915,Office Supplies,Paper,Paper - Xerox 1915,11.07,0.0,41,50,active
OFF-PA-10003441,Xerox 226,Office Supplies,Paper,Paper - Xerox 226,0.57,0.0,196,50,active
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,Accessories - Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,8.98,8.31,19,15,active
TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone,Technology,Phones,Phones - Aastra 6757i CT Wireless VoIP phone,30.52,0.36,13,15,active
TEC-AC-10004992,Kingston Digital DataTraveler 64GB USB 2.0,Technology,Accessories,Accessories - Kingston Digital DataTraveler 64GB USB 2.0,16.89,14.19,15,15,active
TEC-AC-10001142,First Data FD10 PIN Pad,Technology,Accessories,Accessories - First Data FD10 PIN Pad,14.35,13.69,88,15,active
TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,Machines,"Machines - Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",335.99,321.59,99,15,active
TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,Machines - Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,60.64,166.36,14,15,active
TEC-AC-10002018,AmazonBasics 3-Button USB Wired Mouse,Technology,Accessories,Accessories - AmazonBasics 3-Button USB Wired Mouse,1.26,0.0,117,15,active
TEC-PH-10000895,Polycom VVX 310 VoIP phone,Technology,Phones,Phones - Polycom VVX 310 VoIP phone,19.46,0.0,11,15,active
TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Technology,Phones,Phones - Cisco Small Business SPA 502G VoIP phone,20.05,14.74,167,15,active
TEC-MA-10000488,Bady BDG101FRU Card Printer,Technology,Machines,Machines - Bady BDG101FRU Card Printer,165.71,70.85,129,15,active
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,Machines - Lexmark MX611dhe Monochrome Laser Printer,233.75,488.75,82,15,active
TEC-AC-10004114,KeyTronic 6101 Series - Keyboard - Black,Technology,Accessories,Accessories - KeyTronic 6101 Series - Keyboard - Black,18.04,5.33,70,15,active
TEC-PH-10004080,Avaya 5410 Digital phone,Technology,Phones,Phones - Avaya 5410 Digital phone,12.03,12.87,185,15,active
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,"Accessories - Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",1.03,0.0,81,15,active
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,Copiers - Canon imageCLASS 2200 Advanced Copier,616.0,0.0,187,15,active
